Amplification Plots		
		
A1, Repl. 1, 01_3E4_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	13	-0.00142
	14	-0.00291
	15	-0.00141
	16	-0.00411
	17	-0.00474
	18	0.00034
	19	0.00194
	20	0.00164
	21	0.00106
	22	-0.00137
	23	-0.00481
	24	-0.00555
	25	-0.00284
	26	-0.00124
	27	0.00051
	28	-0.00082
	29	-0.00131
	30	0.005
	31	0.01015
	32	0.01744
	33	0.03372
	34	0.06433
	35	0.11156
	36	0.17856
	37	0.26191
	38	0.35245
	39	0.44975
	40	0.55428
	41	0.65919
	42	0.7587
	43	0.85274
	44	0.94655
	45	1.04611
	46	1.13647
	47	1.20889
	48	1.27577
	49	1.34736
	50	1.42036
E1, Repl. 5, 05_3E0_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00528
	2	0.0032
	3	0.00092
	4	0.00156
	5	0.00102
	6	0.00031
	7	0.00024
	8	-0.00152
	9	-0.00175
	10	0.00007
	11	0.00244
	12	0.00168
	13	-0.00131
	14	-0.0024
	15	-0.00199
	16	-0.00222
	17	-0.00242
	18	-0.00281
	19	-0.00116
	20	0.00126
	21	0.00041
	22	-0.00174
	23	-0.00218
	24	-0.00012
	25	0.0017
	26	0.0025
	27	0.00215
	28	-0.00013
	29	-0.00235
	30	-0.00159
	31	0.00232
	32	0.00393
	33	0.00526
	34	0.01913
	35	0.04115
	36	0.07004
	37	0.11558
	38	0.18132
	39	0.26639
	40	0.36531
	41	0.47917
	42	0.5968
	43	0.70758
	44	0.81297
	45	0.9142
	46	1.01257
	47	1.10083
	48	1.18304
	49	1.25833
	50	1.32962
E2, Repl. 5, 05_3E0_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00499
	2	0.00247
	3	0.00263
	4	0.00126
	5	-0.0008
	6	0.00089
	7	0.00275
	8	0.00022
	9	0.00025
	10	0.00114
	11	0.00107
	12	0.00018
	13	-0.00199
	14	-0.00067
	15	-0.00082
	16	-0.00155
	17	-0.00223
	18	-0.00277
	19	-0.00174
	20	-0.00349
	21	-0.00398
	22	-0.00444
	23	-0.00392
	24	0.00008
	25	0.00074
	26	0.00134
	27	0.00335
	28	0.00126
	29	-0.00089
	30	0.00073
	31	0.00252
	32	0.00262
	33	0.00137
	34	0.00242
	35	0.00946
	36	0.02056
	37	0.0368
	38	0.06619
	39	0.1131
	40	0.17475
	41	0.25182
	42	0.34176
	43	0.44182
	44	0.54565
	45	0.64362
	46	0.74193
	47	0.84145
	48	0.93463
	49	1.02263
	50	1.11036
E3, Repl. 5, 05_3E0_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00549
	2	0.00175
	3	-0.00164
	4	-0.0046
	5	-0.00425
	6	-0.00138
	7	0.00213
	8	0.00056
	9	-0.00169
	10	-0.00196
	11	0.00057
	12	0.00318
	13	0.00322
	14	0.00241
	15	0.0001
	16	0.00103
	17	0.0009
	18	-0.00044
	19	0.00026
	20	0.00168
	21	0.0001
	22	-0.00246
	23	-0.00058
	24	0.0022
	25	-0.0001
	26	-0.00095
	27	0.00158
	28	0.00192
	29	0.00249
	30	0.00272
	31	0.00148
	32	0.00082
	33	-0.00003
	34	-0.00357
	35	-0.00272
	36	0.00196
	37	0.00219
	38	0.0016
	39	0.0005
	40	-0.00108
	41	-0.00066
	42	0.00056
	43	0.0015
	44	0.00044
	45	-0.00431
	46	-0.00579
	47	-0.00225
	48	0.00008
	49	0.00088
	50	0.00137
F1, Repl. 6, 06_3E-1_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.01426
	2	0.00777
	3	0.00023
	4	-0.00357
	5	-0.00136
	6	0.00133
	7	-0.00054
	8	-0.00072
	9	0.00066
	10	0.00036
	11	0.00018
	12	-0.00138
	13	-0.00189
	14	0.00021
	15	-0.00171
	16	-0.00173
	17	-0.00129
	18	-0.00322
	19	-0.00258
	20	-0.00083
	21	0.00282
	22	0.00494
	23	0.00221
	24	-0.00099
	25	0.00085
	26	0.00288
	27	0.00166
	28	-0.00048
	29	-0.00185
	30	0.00165
	31	0.00532
	32	0.00336
	33	0.00381
	34	0.00417
	35	0.0035
	36	0.00461
	37	0.00364
	38	-0.00057
	39	-0.00407
	40	-0.0037
	41	-0.00234
	42	-0.00243
	43	-0.00286
	44	-0.00042
	45	-0.00001
	46	-0.00284
	47	-0.00408
	48	-0.0017
	49	0.00014
	50	0.00064
F2, Repl. 6, 06_3E-1_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.00554
	2	0.00155
	3	0.00294
	4	0.00189
	5	0.00007
	6	0.00094
	7	0.00032
	8	-0.00158
	9	-0.00105
	10	0.00092
	11	0.00079
	12	0.0011
	13	0.00204
	14	0.00218
	15	0.00183
	16	0.00146
	17	0.00132
	18	0.00079
	19	0.00152
	20	0.00313
	21	0.00134
	22	-0.00062
	23	-0.00179
	24	-0.00526
	25	-0.00656
	26	-0.0059
	27	-0.00621
	28	-0.0034
	29	-0.00086
	30	-0.00127
	31	-0.00217
	32	-0.00302
	33	-0.00305
	34	-0.00232
	35	-0.00173
	36	-0.00087
	37	0.00064
	38	0.00238
	39	0.00263
	40	0.00213
	41	0.00299
	42	0.00041
	43	-0.00153
	44	0.00088
	45	0.00044
	46	-0.0013
	47	0.00015
	48	0.00183
	49	0.0038
	50	0.00606
F3, Repl. 6, 06_3E-1_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.01638
	2	0.0111
	3	0.00479
	4	0.00096
	5	0.00168
	6	0.00356
	7	0.00003
	8	-0.00159
	9	0.00303
	10	0.00707
	11	0.00401
	12	-0.00199
	13	-0.00416
	14	-0.00239
	15	-0.00177
	16	-0.00194
	17	-0.0028
	18	-0.00436
	19	-0.00483
	20	-0.00387
	21	-0.00189
	22	-0.00069
	23	-0.00003
	24	-0.00188
	25	-0.00288
	26	-0.00141
	27	-0.0029
	28	-0.00131
	29	0.00165
	30	0.00239
	31	0.00177
	32	-0.00051
	33	0.00146
	34	0.00445
	35	0.00599
	36	0.00479
	37	0.00392
	38	0.00443
	39	0.00342
	40	0.00394
	41	0.00219
	42	-0.00164
	43	-0.00235
	44	-0.00017
	45	-0.00161
	46	-0.0037
	47	-0.00197
	48	-0.00318
	49	-0.00277
	50	-0.00015
G1, Repl. 7, 07_3E-2_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.00736
	2	0.00574
	3	0.00309
	4	0.00184
	5	0.00324
	6	-0.00032
	7	-0.00219
	8	-0.00129
	9	0.0006
	10	0.00293
	11	0.00327
	12	0.00339
	13	0.00271
	14	-0.00255
	15	-0.00288
	16	0.00296
	17	0.00369
	18	0.00273
	19	0.00176
	20	0.00234
	21	0.00074
	22	-0.00476
	23	-0.00781
	24	-0.00625
	25	-0.00143
	26	0.00174
	27	0.00124
	28	-0.00032
	29	-0.00038
	30	0.00081
	31	0.00154
	32	0.00198
	33	-0.00072
	34	-0.00221
	35	-0.0035
	36	-0.00786
	37	-0.00545
	38	-0.00204
	39	-0.00216
	40	0.00197
	41	0.00459
	42	0.00356
	43	0.0028
	44	0.00211
	45	0.00043
	46	-0.00082
	47	0.00226
	48	0.004
	49	0.00093
	50	-0.00214
G2, Repl. 7, 07_3E-2_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.00699
	2	0.00237
	3	-0.00345
	4	-0.00331
	5	-0.00117
	6	-0.00396
	7	-0.00451
	8	-0.00448
	9	-0.00417
	10	-0.00208
	11	-0.00123
	12	0.00019
	13	0.00055
	14	-0.00451
	15	-0.00456
	16	0.0022
	17	0.00091
	18	-0.00181
	19	-0.00011
	20	0.00003
	21	-0.00098
	22	-0.0026
	23	0.00099
	24	0.00519
	25	0.00595
	26	0.00649
	27	0.00616
	28	0.00698
	29	0.00648
	30	0.00619
	31	0.00423
	32	0.00414
	33	0.00476
	34	0.00231
	35	0.00188
	36	-0.00096
	37	-0.00136
	38	-0.00022
	39	0.00007
	40	0.00082
	41	0.00084
	42	-0.00077
	43	-0.00329
	44	-0.00326
	45	-0.00342
	46	-0.00221
	47	-0.0031
	48	-0.00382
	49	-0.00372
	50	-0.00623
G3, Repl. 7, 07_3E-2_3uL_  Qty or, FAM	Cycles	Fluorescence (dRn)
	1	0.01222
	2	0.00342
	3	-0.00339
	4	-0.00608
	5	-0.00225
	6	-0.00158
	7	-0.00464
	8	-0.00377
	9	-0.00216
	10	-0.00153
	11	-0.00116
	12	-0.00132
	13	0.00039
	14	-0.00193
	15	-0.00083
	16	0.00529
	17	0.00406
	18	0.00405
	19	0.00421
	20	0.00337
	21	0.00256
	22	-0.00082
	23	0.00006
	24	0.00459
	25	0.00662
	26	0.00624
	27	0.00581
	28	0.00497
	29	0.00351
	30	0.00334
	31	-0.00101
	32	-0.00281
	33	0.00009
	34	0.00172
	35	-0.00005
	36	-0.00506
	37	-0.00592
	38	-0.00305
	39	-0.00045
	40	0.00032
	41	0.00147
	42	0.00152
	43	-0.0017
	44	-0.00208
	45	-0.00204
	46	-0.00128
	47	-0.00005
	48	-0.00204
	49	-0.00254
	50	-0.00264
H1, Repl. 8, 08_NTC_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00951
	2	0.00505
	3	0.00136
	4	-0.00014
	5	0.00194
	6	0.00152
	7	-0.00217
	8	-0.00283
	9	0.00106
	10	0.00148
	11	-0.00211
	12	-0.00395
	13	-0.0032
	14	-0.00266
	15	-0.00268
	16	0.00064
	17	0.00115
	18	-0.00141
	19	-0.00221
	20	-0.00099
	21	0.00194
	22	0.00277
	23	0.00321
	24	0.00309
	25	0.00224
	26	0.00135
	27	0.00008
	28	0.00053
	29	0.00123
	30	0.00236
	31	0.00033
	32	-0.0013
	33	0.00146
	34	0.00252
	35	0.00171
	36	0.00125
	37	0.00091
	38	0.00057
	39	-0.00119
	40	-0.0028
	41	-0.00106
	42	-0.00008
	43	-0.00197
	44	-0.00104
	45	0.00192
	46	0.00235
	47	-0.00091
	48	-0.00347
	49	-0.00236
	50	-0.00046
H2, Repl. 8, 08_NTC_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.01383
	2	0.00719
	3	0.0059
	4	0.00403
	5	0.0047
	6	0.00154
	7	-0.00276
	8	-0.00277
	9	-0.00065
	10	-0.00034
	11	0.00031
	12	0.00003
	13	-0.00185
	14	-0.00233
	15	-0.00089
	16	0.00239
	17	0.00251
	18	0.00218
	19	0.00237
	20	0.00392
	21	0.00918
	22	0.01066
	23	0.0066
	24	0.00267
	25	0.00031
	26	-0.003
	27	-0.00453
	28	-0.00452
	29	-0.00531
	30	-0.00504
	31	-0.00388
	32	-0.00362
	33	-0.00364
	34	-0.00182
	35	-0.00105
	36	-0.00151
	37	-0.00177
	38	-0.00125
	39	-0.00226
	40	-0.00194
	41	0.00067
	42	0.00156
	43	0.00127
	44	0.00138
	45	0.00076
	46	-0.00078
	47	-0.0011
	48	0.00074
	49	0.00336
	50	0.00576
H3, Repl. 8, 08_NTC_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.02813
	2	0.02065
	3	0.01724
	4	0.01503
	5	0.01447
	6	0.01067
	7	0.00432
	8	0.00232
	9	0.00581
	10	0.00681
	11	0.00116
	12	0.00007
	13	0.00028
	14	-0.00345
	15	-0.00442
	16	-0.00103
	17	0.00079
	18	-0.00245
	19	-0.00635
	20	-0.00606
	21	-0.00513
	22	-0.00667
	23	-0.00484
	24	-0.0019
	25	-0.00001
	26	0.00074
	27	0.00061
	28	0.00073
	29	0.00175
	30	0.0032
	31	0.00103
	32	0.00036
	33	0.00256
	34	0.00408
	35	0.0057
	36	0.00311
	37	0.00096
	38	0.00171
	39	-0.00182
	40	-0.00273
	41	0.00137
	42	0.00179
	43	-0.00095
	44	0.00003
	45	0.00091
	46	-0.00117
	47	-0.00215
	48	-0.00163
	49	-0.00041
	50	0.00095
A4, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.02298
	2	0.01667
	3	0.01425
	4	0.00891
	5	0.00427
	6	0.00559
	7	0.00278
	8	-0.0016
	9	0.00037
	10	0.00034
	11	-0.00133
	12	-0.00204
	13	-0.00196
	14	-0.0011
	15	-0.00217
	16	-0.0023
	17	-0.00131
	18	-0.00264
	19	-0.00385
	20	-0.00229
	21	-0.00224
	22	-0.00211
	23	-0.00141
	24	-0.00007
	25	0.00237
	26	0.00491
	27	0.00779
	28	0.01442
	29	0.03072
	30	0.05857
	31	0.1038
	32	0.16894
	33	0.25484
	34	0.35541
	35	0.46096
	36	0.56549
	37	0.67516
	38	0.78652
	39	0.89046
	40	0.99059
	41	1.08173
	42	1.16386
	43	1.23843
	44	1.30872
	45	1.36809
	46	1.41443
	47	1.46171
	48	1.50599
	49	1.54092
	50	1.57592
A5, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.01296
	2	0.011
	3	0.00908
	4	0.00676
	5	0.00751
	6	0.00522
	7	0.00052
	8	-0.00183
	9	-0.00149
	10	0.00044
	11	0.00139
	12	0.00108
	13	0.00024
	14	0.00035
	15	0.00349
	16	0.00507
	17	0.00025
	18	-0.0042
	19	-0.00359
	20	-0.00338
	21	-0.00257
	22	-0.0003
	23	-0.00115
	24	0.0003
	25	0.00245
	26	0.00291
	27	0.00502
	28	0.0153
	29	0.03723
	30	0.06568
	31	0.1088
	32	0.17187
	33	0.25551
	34	0.35178
	35	0.45312
	36	0.5564
	37	0.66157
	38	0.76656
	39	0.86768
	40	0.96517
	41	1.05282
	42	1.13411
	43	1.21109
	44	1.28458
	45	1.34682
	46	1.39392
	47	1.44375
	48	1.49254
	49	1.5304
	50	1.56881
A6, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.00955
	2	0.00285
	3	0.00007
	4	-0.00003
	5	-0.00058
	6	0.00151
	7	0.0008
	8	-0.00174
	9	0.00192
	10	0.00389
	11	0.00054
	12	-0.0008
	13	-0.00017
	14	-0.00231
	15	-0.00239
	16	0.00087
	17	0.00284
	18	0.00218
	19	-0.00171
	20	-0.00411
	21	-0.00376
	22	-0.00227
	23	-0.0032
	24	-0.00386
	25	0.00014
	26	0.00377
	27	0.00841
	28	0.01868
	29	0.03639
	30	0.06705
	31	0.11416
	32	0.17841
	33	0.26154
	34	0.35692
	35	0.45776
	36	0.56074
	37	0.6673
	38	0.77332
	39	0.87669
	40	0.97668
	41	1.06988
	42	1.15325
	43	1.22796
	44	1.29557
	45	1.3497
	46	1.39663
	47	1.43987
	48	1.48292
	49	1.5192
	50	1.5502
A7, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.02366
	2	0.01808
	3	0.01179
	4	0.00956
	5	0.00974
	6	0.00832
	7	0.00194
	8	0.00004
	9	0.00222
	10	0.00221
	11	0.00178
	12	0.00184
	13	0.0021
	14	0.00052
	15	-0.00133
	16	-0.00119
	17	-0.00012
	18	-0.00204
	19	-0.00549
	20	-0.00712
	21	-0.00555
	22	-0.00506
	23	-0.00513
	24	-0.00085
	25	0.0041
	26	0.00667
	27	0.01047
	28	0.02121
	29	0.03805
	30	0.06349
	31	0.10441
	32	0.16294
	33	0.24027
	34	0.33246
	35	0.43309
	36	0.53718
	37	0.64101
	38	0.74229
	39	0.8402
	40	0.93495
	41	1.02639
	42	1.10933
	43	1.18634
	44	1.26008
	45	1.32318
	46	1.37277
	47	1.41318
	48	1.45629
	49	1.49925
	50	1.53955
A8, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.02701
	2	0.0213
	3	0.01539
	4	0.00954
	5	0.00527
	6	0.00489
	7	0.00315
	8	-0.00064
	9	-0.00058
	10	0.00053
	11	-0.00121
	12	-0.00335
	13	-0.0043
	14	-0.00098
	15	0.00118
	16	-0.0012
	17	-0.00387
	18	-0.00404
	19	-0.00381
	20	-0.00275
	21	-0.00033
	22	-0.0001
	23	-0.00127
	24	-0.00024
	25	0.00127
	26	0.00381
	27	0.00854
	28	0.01174
	29	0.0229
	30	0.05072
	31	0.09206
	32	0.15244
	33	0.23248
	34	0.32695
	35	0.43349
	36	0.54104
	37	0.64639
	38	0.75376
	39	0.85898
	40	0.95305
	41	1.03906
	42	1.1193
	43	1.19295
	44	1.26094
	45	1.32729
	46	1.38309
	47	1.4294
	48	1.47294
	49	1.51175
	50	1.5521
A9, Repl. 9, 09_FNE001_3uL_  Qty , FAM	Cycles	Fluorescence (dRn)
	1	0.00841
	2	0.00427
	3	0.00327
	4	0.00137
	5	-0.00073
	6	0
	7	0.00041
	8	0.00048
	9	0.00032
	10	0.00157
	11	0.00236
	12	0.00009
	13	-0.00092
	14	-0.00109
	15	-0.00185
	16	-0.0024
	17	-0.00267
	18	-0.00246
	19	-0.00191
	20	0.00144
	21	0.0028
	22	0.00181
	23	0.00041
	24	-0.00084
	25	0.00007
	26	0.00008
	27	0.00167
	28	0.00679
	29	0.02247
	30	0.05488
	31	0.10001
	32	0.15941
	33	0.24025
	34	0.33952
	35	0.44463
	36	0.55208
	37	0.66021
	38	0.76326
	39	0.86505
	40	0.96483
	41	1.05228
	42	1.13487
	43	1.2083
	44	1.26399
	45	1.31706
	46	1.3611
	47	1.40139
	48	1.43992
	49	1.47025
	50	1.50296
