Amplification Plots		
		
A1, Repl. 1, 01_3E4_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.01153
	2	0.00414
	3	0.00172
	4	0.00016
	5	0.00126
	6	0.0028
	7	-0.00175
	8	-0.00457
	9	-0.00288
	10	-0.0013
	11	0.00015
	12	-0.00066
	13	-0.00269
	14	-0.0031
	15	-0.00175
	16	0.00054
	17	0.00091
	18	0.00036
	19	0.00241
	20	0.00425
	21	0.00932
	22	0.02095
	23	0.04349
	24	0.08694
	25	0.14893
	26	0.22779
	27	0.32047
	28	0.42616
	29	0.54024
	30	0.65357
	31	0.76805
	32	0.87523
	33	0.979
	34	1.08002
	35	1.17391
	36	1.26109
	37	1.34169
	38	1.42113
	39	1.4934
	40	1.55349
	41	1.60897
	42	1.66247
	43	1.71048
	44	1.75254
	45	1.78848
	46	1.81566
	47	1.83638
	48	1.85568
	49	1.87318
	50	1.89128
A2, Repl. 1, 01_3E4_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.02167
	2	0.0169
	3	0.01076
	4	0.00576
	5	0.00599
	6	0.00594
	7	0.00033
	8	-0.00345
	9	-0.00079
	10	0.00076
	11	0.00196
	12	0.00274
	13	0.00027
	14	-0.00178
	15	0.00046
	16	0.00179
	17	0.0004
	18	-0.00042
	19	-0.00225
	20	-0.0018
	21	0.00607
	22	0.01972
	23	0.04253
	24	0.08357
	25	0.14185
	26	0.21406
	27	0.29996
	28	0.39831
	29	0.50429
	30	0.60921
	31	0.71276
	32	0.8141
	33	0.915
	34	1.01324
	35	1.09868
	36	1.17732
	37	1.25983
	38	1.33935
	39	1.40917
	40	1.47177
	41	1.52612
	42	1.57369
	43	1.62415
	44	1.67683
	45	1.71134
	46	1.73369
	47	1.75515
	48	1.77733
	49	1.80033
	50	1.82091
A3, Repl. 1, 01_3E4_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.035
	2	0.01975
	3	0.0114
	4	0.00769
	5	0.00676
	6	0.00611
	7	0.00122
	8	-0.00235
	9	-0.00025
	10	0.00206
	11	0.00097
	12	-0.00102
	13	-0.00118
	14	-0.00023
	15	0.00026
	16	0.00092
	17	0.00037
	18	-0.00096
	19	-0.00061
	20	0.0008
	21	0.00693
	22	0.02044
	23	0.04148
	24	0.07948
	25	0.13911
	26	0.21599
	27	0.30697
	28	0.41
	29	0.52052
	30	0.62947
	31	0.73338
	32	0.83443
	33	0.93795
	34	1.03921
	35	1.13248
	36	1.21287
	37	1.28576
	38	1.35713
	39	1.42489
	40	1.48858
	41	1.54382
	42	1.59058
	43	1.63414
	44	1.67408
	45	1.69997
	46	1.71827
	47	1.73957
	48	1.75746
	49	1.77194
	50	1.78919
B1, Repl. 2, 02_3E3_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00986
	2	0.00915
	3	0.00928
	4	0.00887
	5	0.00846
	6	0.00692
	7	0.00588
	8	0.0016
	9	-0.00309
	10	-0.00262
	11	0.00005
	12	0.00132
	13	0.00061
	14	-0.00073
	15	-0.00183
	16	-0.00318
	17	-0.00233
	18	-0.00303
	19	-0.00104
	20	0.00247
	21	0.00266
	22	0.00204
	23	0.00122
	24	0.0043
	25	0.01199
	26	0.03114
	27	0.05982
	28	0.09981
	29	0.16057
	30	0.23552
	31	0.31867
	32	0.40905
	33	0.50249
	34	0.59562
	35	0.68599
	36	0.77554
	37	0.86179
	38	0.94037
	39	1.01513
	40	1.08627
	41	1.15708
	42	1.22119
	43	1.28041
	44	1.34228
	45	1.39909
	46	1.4412
	47	1.4809
	48	1.52382
	49	1.55373
	50	1.58121
B2, Repl. 2, 02_3E3_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00413
	2	0.00164
	3	0.0009
	4	0.00235
	5	0.00303
	6	0.00117
	7	0.00092
	8	-0.00045
	9	-0.00178
	10	-0.00162
	11	-0.0019
	12	-0.00145
	13	-0.00205
	14	-0.00266
	15	-0.00247
	16	-0.00174
	17	0.00035
	18	-0.00176
	19	-0.00186
	20	-0.00109
	21	-0.00012
	22	0.00339
	23	0.00284
	24	0.00435
	25	0.0112
	26	0.0258
	27	0.05038
	28	0.09087
	29	0.15504
	30	0.2332
	31	0.31898
	32	0.4121
	33	0.50906
	34	0.61072
	35	0.71064
	36	0.80693
	37	0.90328
	38	0.99404
	39	1.08048
	40	1.16351
	41	1.23311
	42	1.29385
	43	1.35705
	44	1.42033
	45	1.46996
	46	1.50073
	47	1.53723
	48	1.58227
	49	1.61949
	50	1.65447
B3, Repl. 2, 02_3E3_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00471
	2	0.00104
	3	-0.00235
	4	-0.00016
	5	0.00285
	6	0.00572
	7	0.00325
	8	-0.0028
	9	-0.00212
	10	-0.00094
	11	-0.00208
	12	-0.00265
	13	-0.0014
	14	-0.00136
	15	-0.00318
	16	-0.00213
	17	-0.00023
	18	-0.00108
	19	-0.00012
	20	0.00167
	21	0.00189
	22	0.00265
	23	0.00207
	24	0.00572
	25	0.01683
	26	0.03705
	27	0.07008
	28	0.11684
	29	0.18526
	30	0.273
	31	0.3716
	32	0.47392
	33	0.57925
	34	0.68997
	35	0.80062
	36	0.90548
	37	1.00254
	38	1.09948
	39	1.19347
	40	1.27552
	41	1.35241
	42	1.42667
	43	1.49049
	44	1.55514
	45	1.61202
	46	1.65339
	47	1.69612
	48	1.74166
	49	1.7856
	50	1.8286
C1, Repl. 3, 03_3E2_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.01003
	2	0.00701
	3	0.00393
	4	0.00177
	5	0.00007
	6	-0.00113
	7	0.00109
	8	0.0019
	9	-0.00165
	10	-0.00293
	11	-0.00232
	12	-0.00446
	13	-0.00276
	14	0.00104
	15	0.00411
	16	0.00281
	17	-0.00152
	18	-0.00143
	19	0.00079
	20	0.0005
	21	0.00067
	22	0.00043
	23	-0.00451
	24	-0.0045
	25	-0.00056
	26	0.00224
	27	0.00641
	28	0.01339
	29	0.0283
	30	0.05312
	31	0.09711
	32	0.15525
	33	0.22808
	34	0.32272
	35	0.42384
	36	0.51959
	37	0.61579
	38	0.71503
	39	0.81517
	40	0.916
	41	1.00859
	42	1.09024
	43	1.16851
	44	1.24877
	45	1.327
	46	1.39795
	47	1.45929
	48	1.51329
	49	1.56458
	50	1.61557
C2, Repl. 3, 03_3E2_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.0031
	2	0.00258
	3	0.00281
	4	0.00383
	5	0.00401
	6	0.00353
	7	0.00324
	8	0.00091
	9	-0.00182
	10	0.00066
	11	0.00106
	12	-0.00233
	13	-0.00417
	14	-0.00581
	15	-0.0031
	16	-0.00064
	17	-0.00435
	18	-0.00735
	19	-0.00752
	20	-0.00463
	21	-0.00427
	22	-0.00632
	23	-0.0044
	24	0.00184
	25	0.00698
	26	0.01073
	27	0.01453
	28	0.01749
	29	0.02696
	30	0.05018
	31	0.0908
	32	0.14493
	33	0.21545
	34	0.30634
	35	0.40744
	36	0.51099
	37	0.6124
	38	0.71064
	39	0.81466
	40	0.91643
	41	1.0083
	42	1.09958
	43	1.18253
	44	1.26148
	45	1.3424
	46	1.41355
	47	1.47474
	48	1.53183
	49	1.58358
	50	1.63294
C3, Repl. 3, 03_3E2_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.0005
	2	0.00028
	3	0.00082
	4	0.00057
	5	0.00102
	6	0.00375
	7	0.00405
	8	0.00081
	9	-0.00231
	10	-0.00286
	11	-0.0009
	12	-0.00005
	13	0.00004
	14	-0.00143
	15	-0.00077
	16	0.00178
	17	0.00015
	18	-0.00494
	19	-0.00555
	20	-0.00189
	21	-0.00266
	22	-0.00304
	23	-0.00154
	24	0.00127
	25	0.00305
	26	0.00385
	27	0.0065
	28	0.01381
	29	0.0263
	30	0.04743
	31	0.08476
	32	0.14048
	33	0.21236
	34	0.29495
	35	0.38868
	36	0.49066
	37	0.58968
	38	0.68562
	39	0.78534
	40	0.88278
	41	0.97104
	42	1.05398
	43	1.13111
	44	1.20768
	45	1.28629
	46	1.352
	47	1.40606
	48	1.45766
	49	1.50903
	50	1.56082
D1, Repl. 4, 04_3E1_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.00805
	2	0.00587
	3	0.00207
	4	-0.00199
	5	-0.00079
	6	0.00078
	7	0.00094
	8	0.00185
	9	-0.00089
	10	-0.00181
	11	-0.00091
	12	-0.00081
	13	0.00149
	14	0.00434
	15	0.00492
	16	0.00102
	17	-0.00362
	18	-0.00422
	19	-0.00221
	20	0.00026
	21	-0.00016
	22	-0.00125
	23	0.00069
	24	0.00029
	25	-0.00116
	26	-0.00146
	27	-0.00236
	28	-0.00408
	29	-0.00223
	30	0.00329
	31	0.008
	32	0.01403
	33	0.02711
	34	0.05519
	35	0.09752
	36	0.15306
	37	0.22048
	38	0.29888
	39	0.39021
	40	0.48191
	41	0.56857
	42	0.65881
	43	0.7475
	44	0.82951
	45	0.91543
	46	0.99575
	47	1.06434
	48	1.12828
	49	1.19229
	50	1.25937
D2, Repl. 4, 04_3E1_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.0001
	2	-0.0011
	3	-0.00001
	4	0.00007
	5	0.00043
	6	-0.00078
	7	0.00055
	8	0.00285
	9	0.00069
	10	-0.0012
	11	-0.00106
	12	-0.00057
	13	0.00046
	14	0.00205
	15	0.00279
	16	-0.00033
	17	-0.00207
	18	-0.00062
	19	0.00055
	20	0.00185
	21	0.00077
	22	0.00029
	23	-0.00253
	24	-0.00336
	25	-0.00015
	26	-0.00266
	27	-0.00445
	28	-0.00253
	29	-0.00065
	30	0.00362
	31	0.00709
	32	0.01272
	33	0.02712
	34	0.05549
	35	0.09509
	36	0.15123
	37	0.22485
	38	0.30642
	39	0.40028
	40	0.49945
	41	0.59686
	42	0.69225
	43	0.78811
	44	0.88113
	45	0.97278
	46	1.05822
	47	1.13621
	48	1.21331
	49	1.28868
	50	1.36447
D3, Repl. 4, 04_3E1_3uL_  Qty or , FAM	Cycles	Fluorescence (dRn)
	1	0.01132
	2	0.00595
	3	0.00405
	4	0.00396
	5	0.00273
	6	0.00233
	7	0.00518
	8	0.00599
	9	0.00224
	10	-0.00065
	11	-0.00092
	12	0.00004
