Well	Well Name	Well Type	Replicate	Threshold (dR)	Ct (dR)	Quantity (copies)	RSq (dR)	Slope (dR)	
A1	01_3E4_3uL_  Qty or ID	Standard	1	427.562	22.35	3.00e+004	0.983	-3.264	
A2	01_3E4_3uL_  Qty or ID	Standard	1	427.562	22.80	3.00e+004	0.983	-3.264	
A3	01_3E4_3uL_  Qty or ID	Standard	1	427.562	22.94	3.00e+004	0.983	-3.264	
B1	02_3E3_3uL_  Qty or ID	Standard	2	427.562	26.43	3.00e+003	0.983	-3.264	
B2	02_3E3_3uL_  Qty or ID	Standard	2	427.562	25.74	3.00e+003	0.983	-3.264	
B3	02_3E3_3uL_  Qty or ID	Standard	2	427.562	26.50	3.00e+003	0.983	-3.264	
C1	03_3E2_3uL_  Qty or ID	Standard	3	427.562	29.02	3.00e+002	0.983	-3.264	
C2	03_3E2_3uL_  Qty or ID	Standard	3	427.562	28.49	3.00e+002	0.983	-3.264	
C3	03_3E2_3uL_  Qty or ID	Standard	3	427.562	29.42	3.00e+002	0.983	-3.264	
D1	04_3E1_3uL_  Qty or ID	Standard	4	427.562	33.13	3.00e+001	0.983	-3.264	
D2	04_3E1_3uL_  Qty or ID	Standard	4	427.562	32.75	3.00e+001	0.983	-3.264	
D3	04_3E1_3uL_  Qty or ID	Standard	4	427.562	33.45	3.00e+001	0.983	-3.264	
E1	05_3E0_3uL_  Qty or ID	Standard	5	427.562	34.49	3.00e+000	0.983	-3.264	
E2	05_3E0_3uL_  Qty or ID	Standard	5	427.562	36.38	3.00e+000	0.983	-3.264	
E3	05_3E0_3uL_  Qty or ID	Standard	5	427.562	No Ct	No Ct	0.983	-3.264	
F1	06_3E-1_3uL_  Qty or ID	Standard	6	427.562	No Ct	No Ct	0.983	-3.264	
F2	06_3E-1_3uL_  Qty or ID	Standard	6	427.562	No Ct	No Ct	0.983	-3.264	
F3	06_3E-1_3uL_  Qty or ID	Standard	6	427.562	No Ct	No Ct	0.983	-3.264	
G1	07_3E-2_3uL_  Qty or ID	Standard	7	427.562	No Ct	No Ct	0.983	-3.264	
G2	07_3E-2_3uL_  Qty or ID	Standard	7	427.562	No Ct	No Ct	0.983	-3.264	
G3	07_3E-2_3uL_  Qty or ID	Standard	7	427.562	No Ct	No Ct	0.983	-3.264	
H1	08_NTC_3uL_  Qty or ID	NTC	8	427.562	No Ct	No Ct	0.983	-3.264	
H2	08_NTC_3uL_  Qty or ID	NTC	8	427.562	No Ct	No Ct	0.983	-3.264	
H3	08_NTC_3uL_  Qty or ID	NTC	8	427.562	No Ct	No Ct	0.983	-3.264	
A4	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.45	2.734e+002	0.983	-3.264	
A5	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.23	3.191e+002	0.983	-3.264	
A6	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.21	3.233e+002	0.983	-3.264	
A7	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.54	2.560e+002	0.983	-3.264	
A8	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.77	2.171e+002	0.983	-3.264	
A9	09_FNE001_3uL_  Qty or ID	Unknown	9	427.562	29.57	2.514e+002	0.983	-3.264	
B4	10_FNE002_3uL_  Qty or ID	Unknown	10	427.562	29.17	3.318e+002	0.983	-3.264	
B5	10_FNE002_3uL_  Qty or ID	Unknown	10	427.562	28.97	3.826e+002	0.983	-3.264	
B6	10_FNE002_3uL_  Qty or ID	Unknown	10	427.562	29.88	2.014e+002	0.983	-3.264	
