"X";"Well";"WellType";"Replicate";"ThresholddRn";"CtdRn";"Quantitycopies";"RSqdRn";"SlopedRn";"qPCRno";"ProjectNm";"AssIDNo";"spcabbr";"pltno";"qpcrmach";"qpcrrundate";"replno";"smplno";"templvol";"Fixated";"bufferadded";"inctmp";"inctime";"Typesmpl";"templ.vol2";"smplno2";"col.06"
"43";43;"D4";"Unknown";12;0.1427;19.85;1040000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"44";44;"D5";"Unknown";12;0.1427;19.84;1048000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"45";45;"D6";"Unknown";12;0.1427;19.99;945300;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"46";46;"D7";"Unknown";12;0.1427;19.99;945100;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"47";47;"D8";"Unknown";12;0.1427;19.83;1051000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"48";48;"D9";"Unknown";12;0.1427;19.7;1152000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"49";49;"E4";"Unknown";13;0.1427;19.52;1296000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"50";50;"E5";"Unknown";13;0.1427;19.57;1253000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"51";51;"E6";"Unknown";13;0.1427;19.67;1174000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"52";52;"E7";"Unknown";13;0.1427;19.54;1276000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"53";53;"E8";"Unknown";13;0.1427;19.57;1251000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"54";54;"E9";"Unknown";13;0.1427;19.52;1297000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"55";55;"F4";"Unknown";14;0.1427;19.77;1100000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"56";56;"F5";"Unknown";14;0.1427;19.76;1100000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"57";57;"F6";"Unknown";14;0.1427;19.87;1029000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"58";58;"F7";"Unknown";14;0.1427;19.88;1020000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"59";59;"F8";"Unknown";14;0.1427;19.83;1050000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"60";60;"F9";"Unknown";14;0.1427;19.73;1123000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"61";61;"G4";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"62";62;"G5";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"63";63;"G6";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"64";64;"G7";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"65";65;"G8";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"66";66;"G9";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"67";67;"H4";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"68";68;"H5";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"69";69;"H6";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"70";70;"H7";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"71";71;"H8";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"72";72;"H9";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"73";73;"A10";"Unknown";17;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";"#A2FF00"
"74";74;"A11";"Unknown";17;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";"#A2FF00"
"75";75;"A12";"Unknown";17;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";"#A2FF00"
"76";76;"B10";"Unknown";18;0.1427;40.67;0.8923;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";"#80FF00"
"77";77;"B11";"Unknown";18;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";"#80FF00"
"78";78;"B12";"Unknown";18;0.1427;39.47;1.99;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";"#80FF00"
"79";79;"C10";"Unknown";19;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";"#5DFF00"
"80";80;"C11";"Unknown";19;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";"#5DFF00"
"81";81;"C12";"Unknown";19;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";"#5DFF00"
"82";82;"D10";"Unknown";20;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE012";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE012";"#3AFF00"
"83";83;"D11";"Unknown";20;0.1427;39.34;2.18;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE012";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE012";"#3AFF00"
