Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_3E4_3uL_  Qty or ID	Standard	1	0.1317	24.61	3.00e+004	0.997	-3.604	
A2	01_3E4_3uL_  Qty or ID	Standard	1	0.1317	24.71	3.00e+004	0.997	-3.604	
A3	01_3E4_3uL_  Qty or ID	Standard	1	0.1317	24.68	3.00e+004	0.997	-3.604	
B1	02_3E3_3uL_  Qty or ID	Standard	2	0.1317	28.41	3.00e+003	0.997	-3.604	
B2	02_3E3_3uL_  Qty or ID	Standard	2	0.1317	28.18	3.00e+003	0.997	-3.604	
B3	02_3E3_3uL_  Qty or ID	Standard	2	0.1317	28.24	3.00e+003	0.997	-3.604	
C1	03_3E2_3uL_  Qty or ID	Standard	3	0.1317	31.74	3.00e+002	0.997	-3.604	
C2	03_3E2_3uL_  Qty or ID	Standard	3	0.1317	31.98	3.00e+002	0.997	-3.604	
C3	03_3E2_3uL_  Qty or ID	Standard	3	0.1317	31.65	3.00e+002	0.997	-3.604	
D1	04_3E1_3uL_  Qty or ID	Standard	4	0.1317	35.45	3.00e+001	0.997	-3.604	
D2	04_3E1_3uL_  Qty or ID	Standard	4	0.1317	36.19	3.00e+001	0.997	-3.604	
D3	04_3E1_3uL_  Qty or ID	Standard	4	0.1317	35.27	3.00e+001	0.997	-3.604	
E1	05_3E0_3uL_  Qty or ID	Standard	5	0.1317	No Ct	No Ct	0.997	-3.604	
E2	05_3E0_3uL_  Qty or ID	Standard	5	0.1317	38.60	3.00e+000	0.997	-3.604	
E3	05_3E0_3uL_  Qty or ID	Standard	5	0.1317	39.35	3.00e+000	0.997	-3.604	
F1	06_3E-1_3uL_  Qty or ID	Standard	6	0.1317	No Ct	No Ct	0.997	-3.604	
F2	06_3E-1_3uL_  Qty or ID	Standard	6	0.1317	No Ct	No Ct	0.997	-3.604	
F3	06_3E-1_3uL_  Qty or ID	Standard	6	0.1317	No Ct	No Ct	0.997	-3.604	
G1	07_3E-2_3uL_  Qty or ID	Standard	7	0.1317	No Ct	No Ct	0.997	-3.604	
G2	07_3E-2_3uL_  Qty or ID	Standard	7	0.1317	No Ct	No Ct	0.997	-3.604	
G3	07_3E-2_3uL_  Qty or ID	Standard	7	0.1317	No Ct	No Ct	0.997	-3.604	
H1	08_NTC_3uL_  Qty or ID	NTC	8	0.1317	No Ct	No Ct	0.997	-3.604	
