Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_3E4_3uL_  Qty or ID	Standard	1	0.0599	23.05	3.00e+004	0.987	-3.557	
A2	01_3E4_3uL_  Qty or ID	Standard	1	0.0599	23.12	3.00e+004	0.987	-3.557	
A3	01_3E4_3uL_  Qty or ID	Standard	1	0.0599	22.49	3.00e+004	0.987	-3.557	
B1	02_3E3_3uL_  Qty or ID	Standard	2	0.0599	26.49	3.00e+003	0.987	-3.557	
B2	02_3E3_3uL_  Qty or ID	Standard	2	0.0599	26.27	3.00e+003	0.987	-3.557	
B3	02_3E3_3uL_  Qty or ID	Standard	2	0.0599	26.22	3.00e+003	0.987	-3.557	
C1	03_3E2_3uL_  Qty or ID	Standard	3	0.0599	29.87	3.00e+002	0.987	-3.557	
C2	03_3E2_3uL_  Qty or ID	Standard	3	0.0599	29.75	3.00e+002	0.987	-3.557	
C3	03_3E2_3uL_  Qty or ID	Standard	3	0.0599	29.85	3.00e+002	0.987	-3.557	
D1	04_3E1_3uL_  Qty or ID	Standard	4	0.0599	33.33	3.00e+001	0.987	-3.557	
D2	04_3E1_3uL_  Qty or ID	Standard	4	0.0599	33.17	3.00e+001	0.987	-3.557	
D3	04_3E1_3uL_  Qty or ID	Standard	4	0.0599	33.49	3.00e+001	0.987	-3.557	
E1	05_3E0_3uL_  Qty or ID	Standard	5	0.0599	38.87	3.00e+000	0.987	-3.557	
E2	05_3E0_3uL_  Qty or ID	Standard	5	0.0599	35.99	3.00e+000	0.987	-3.557	
E3	05_3E0_3uL_  Qty or ID	Standard	5	0.0599	36.64	3.00e+000	0.987	-3.557	
F1	06_3E-1_3uL_  Qty or ID	Standard	6	0.0599	No Ct	No Ct	0.987	-3.557	
F2	06_3E-1_3uL_  Qty or ID	Standard	6	0.0599	No Ct	No Ct	0.987	-3.557	
F3	06_3E-1_3uL_  Qty or ID	Standard	6	0.0599	No Ct	No Ct	0.987	-3.557	
G1	07_3E-2_3uL_  Qty or ID	Standard	7	0.0599	No Ct	No Ct	0.987	-3.557	
